"क", "0915", "k, K"
"ख", "0916", "kh, Kh"
"ग", "0917", "g, G"
"घ", "0918", "gh, Gh"
"ङ", "0919", "~N"
"च", "091a", "c, C"
"छ", "091b", "ch, Ch"
"ज", "091c", "j, J"
"झ", "091d", "z, Z, jh, Jh"
"ञ", "091e", "~n"
"ट", "091f", "T"
"ठ", "0920", "Th"
"ड", "0921", "D"
"ढ", "0922", "Dh"
"ण", "0923", "N"
"त", "0924", "t"
"थ", "0925", "th"
"द", "0926", "d"
"ध", "0927", "dh"
"न", "0928", "n"
"प", "092a", "p, P"
"फ", "092b", "f, F, ph, Ph"
"ब", "092c", "b, B"
"भ", "092d", "bh, Bh"
"म", "092e", "m, M"
"य", "092f", "y, Y"
"र", "0930", "r, R"
"ऱ", "0931", "~r, ~R"
"ल", "0932", "l"
"ळ", "0933", "L"
"व", "0935", "v, V, w, W"
"श", "0936", "sh, S"
"ष", "0937", "Sh"
"स", "0938", "s"
"ह", "0939", "h"
----------
"०", "0966", "0"
"१", "0967", "1"
"२", "0968", "2"
"३", "0969", "3"
"४", "096a", "4"
"५", "096b", "5"
"६", "096c", "6"
"७", "096d", "7"
"८", "096e", "8"
"९", "096f", "9"
----------
"ँ", "0901", ".N"
"ं", "0902", ".n, .m"
"ः", "0903", "H"
"", "", "a"
"ा", "093e", "A, aa"
"ि", "093f", "i"
"ी", "0940", "I, ee, ii"
"ु", "0941", "u"
"ू", "0942", "U, uu, oo"
"ृ", "0943", "~ru, ~Ru"
"ॅ", "0945", "~a, ~e, ~A, ~E"
"े", "0947", "e, E"
"ै", "0948", "ai"
"ॉ", "0949", "~o, ~O"
"ो", "094b", "o, O"
"ौ", "094c", "au"
"्", "094d", ""
----------
"अ", "0905", "a" 
"आ", "0906", "A, aa"
"इ", "0907", "i"
"ई", "0908", "I, ee, ii"
"उ", "0909", "u"
"ऊ", "090a", "U, uu, oo"
"ऋ", "090b", "~ru, ~Ru"
"ऍ", "090d", "~e, ~E"
"ए", "090f", "e, E"
"ऐ", "0910", "ai"
"ऑ", "0911", "~o, ~O"
"ओ", "0913", "o, O"
"औ", "0914", "au"
"ॲ", "0972", "~a, ~A"
----------
"aeiouAEIOUH"
".,><?/+=-_}{[]()*&^%$#@!~`\"\'\\|:;\ "
"0123456789"
".~"
----------
